date,case,doc_name,doc_link
2017-05-12,"Click4Support, LLC","Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Innovazion Research Private Limited, Innovazion Inc., Abhishek Gagneja, and Rishi Gagneja (858.34 KB)",https://www.ftc.gov/system/files/documents/cases/170511_click4supportorder_stip_perm_mon_judgt_innovazion_defs.pdf
2017-04-24,Mason Grace Enterprises,Stipulated Order For Permanent Injunction and Monetary Judgment (1.65 MB),https://www.ftc.gov/system/files/documents/cases/capital_enterprises_final_consent_judgment.pdf
2017-04-10,NetSpend Corporation,Stipulated Order for Permanent Injunction and Monetary Judgment  (Entered by the Court) (1.23 MB),https://www.ftc.gov/system/files/documents/cases/netspend_final_order_-_entered.pdf
2017-03-31,NetSpend Corporation,Stipulated Order for Permanent Injunction and Monetary Judgment (1.14 MB),https://www.ftc.gov/system/files/documents/cases/netspend_stipulated_order_for_permanent_injunction_and_monetary_judgment_3-31-17.pdf
2017-03-28,"Volkswagen Group of America, Inc.",[Proposed] Amended Second Partial Stipulated Order For Permanent Injunction and Monetary Judgment (599.42 KB),https://www.ftc.gov/system/files/documents/cases/170329_stipord_perm_.pdf
2017-03-27,"Liberty Supply Co., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (1.45 MB),https://www.ftc.gov/system/files/documents/cases/170327liberty_perm_inj.pdf
2017-03-22,"Universal City Nissan, Inc., et al.","Stipulated Order For Permanent Injunction and Monetary Judgment As To Settling Defendants, Approved by the United States District Court (122.04 KB)",https://www.ftc.gov/system/files/documents/cases/170327_final_orderjudgment.pdf
2017-03-17,John Fowler,"Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Tachht, Inc., Teqqi LLC and Colby Fox (868.61 KB)",https://www.ftc.gov/system/files/documents/cases/170316_stipulated_final_order_.pdf
2017-03-15,"United Debt Counselors, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment (928.71 KB),https://www.ftc.gov/system/files/documents/cases/170315_united_debt_order.pdf
2017-03-14,"Universal City Nissan, Inc., et al.",[Proposed] Stipulated Order For Permanent Injunction and Monetary Judgment As To Settling Defendants (738.47 KB),https://www.ftc.gov/system/files/documents/cases/47_stipulated_final_order.pdf
2017-03-13,"Advertising Strategies, LLC, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants (794.37 KB),https://www.ftc.gov/system/files/documents/cases/170310_final_stipulated_order_.pdf
2017-03-07,"United Debt Counselors, LLC",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (522.27 KB),https://www.ftc.gov/system/files/documents/cases/united_debt_services_proposed_stipulated_order.pdf
2017-03-07,American Municipal Services Corporation, [Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (4.98 MB),https://www.ftc.gov/system/files/documents/cases/american_municipal_services_corp_proposed_stip_order.pdf
2017-02-23,"CD Capital Investments, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Gabriel Drews Stewart [Entered by the Court] (93.62 KB),https://www.ftc.gov/system/files/documents/cases/x140035_cdcapital_judgment_stewart.pdf
2017-02-15,PHLG Enterprises LLC,Stipulated Order for Permanent Injunction and Monetary Judgment [Entered by the Court] (1.54 MB),https://www.ftc.gov/system/files/documents/cases/phlg_170215order.pdf
2017-02-10,"Stepping Stonez Development, LLC",Stipulated Final Order for Permanent Injunction and Monetary Judgment [Entered by the Court] (110.75 KB),https://www.ftc.gov/system/files/documents/cases/170210steppingstonezjudgment.pdf
2017-02-09,"Terry Somenzi, individually and as an officer of International Advisory Services, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Ian Gamberg (66.96 KB),https://www.ftc.gov/system/files/documents/cases/170221gamberg_jdmt.pdf
2017-02-06,"VIZIO, INC. and VIZIO Inscape Services, LLC",Complaint for Permanent Injunction and Other Equitable and Monetary Relief (368.79 KB),https://www.ftc.gov/system/files/documents/cases/170206_vizio_2017.02.06_complaint.pdf
2017-02-03,"Stratford Career Institute, Inc.",Stipulated Order for Permanent Injunction and Partial Suspension of Monetary Judgment (4.25 MB),https://www.ftc.gov/system/files/documents/cases/170202stratfordorder.pdf
2017-02-02,Uber Technologies Inc.,Stipulated Order For Permanent Injunction and Monetary Judgment Approved by the United States District Court (332.66 KB),https://www.ftc.gov/system/files/documents/cases/uber_final_order.pdf
2017-02-01,"Volkswagen Group of America, Inc.",[Proposed] Second Partial Stipulated Order For Permanent Injunction and Monetary Judgment (811.85 KB),https://www.ftc.gov/system/files/documents/cases/2843_-_ftc_3.0l_order.pdf
2017-01-30,"American eVoice, Ltd. and Emerica Media Corporation, et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Robert Braach (2.06 MB),https://www.ftc.gov/system/files/documents/cases/x130020amevoicerobertbraachorder.pdf
2017-01-30,Mallinckrodt Ard Inc. (Questcor Pharmaceuticals),"Stipulated Order For Permanent Injunction and Equitable Monetary Relief, As Approved by United States District Court Judge Emmet G. Sullivan (1.01 MB)",https://www.ftc.gov/system/files/documents/cases/stipulated_order_for_permanent_injunction_mallinckrodt.pdf
2017-01-27,PHLG Enterprises LLC,Joint Motion for Entry of Stipulated Order for Permanent Injunction and Monetary Judgment as to All Defendants (158.87 KB),https://www.ftc.gov/system/files/documents/cases/phlg_joint_motion_to_enter_stipulated_order.pdf
2017-01-24,"Consumer Assistance, LLC, et al",Stipulated Order for Permanent Injunction and Monetary Judgment (599.11 KB),https://www.ftc.gov/system/files/documents/cases/170124_consumer_assistance_permt_inj.pdf
2017-01-19,Uber Technologies Inc.,[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (248.54 KB),https://www.ftc.gov/system/files/documents/cases/1523082uberproposedorder.pdf
2017-01-18,Mallinckrodt Ard Inc. (Questcor Pharmaceuticals),Joint Motion For Entry of Stipulated Order For Permanent Injunction and Equitable Monetary Relief (388.95 KB),https://www.ftc.gov/system/files/documents/cases/2_joint_motion_for_entry_of_stipulated_order.pdf
2016-12-22,"Inbound Call Experts, LLC","Stipulated Order for Permanent Injunction and Monetary Judgment as to Inbound Call Experts, LLC, Advanced Tech Supportco, LLC, Pc Vitalware, LLC, Super PC Support, LLC, Robert D. Deignan, Paul M. Herdsman, and Justin M. Wright (812.82 KB)",https://www.ftc.gov/system/files/documents/cases/inbound_call_experts_218_final_order.pdf
2016-12-21,Vemma Nutrition Company,"Stipulated Order for Permanent Injunction and Monetary Judgment Against Vemma Nutrition Company, Vemma International Holdings, Inc., and Benson K. Boreyko (479.79 KB)",https://www.ftc.gov/system/files/documents/cases/161222_vemma_273-stipulated_final_order_redacted.pdf
2016-12-15,DeVry University,Stipulation as to Entry of Order for Permanent Injunction and Monetary Judgment (526.7 KB),https://www.ftc.gov/system/files/documents/cases/161215_devry_stipulationrefinalorder.pdf
2016-12-15,Vemma Nutrition Company,"[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment Against Vemma Nutrition Company, Vemma International Holdings, Inc., and Benson K. Boreyko (420.97 KB)",https://www.ftc.gov/system/files/documents/cases/161215_proposed_vemma_bk_stipulated_final.pdf
2016-12-12,"Aura Labs, Inc.",Order for Permanent Injunction and Monetary Judgment [3]  (99.48 KB),https://www.ftc.gov/system/files/documents/cases/161212_aura_labs_final_order.pdf
2016-11-30,"E.M. Systems & Services, LLC",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment as to the E.M. Systems Defendants (976.9 KB),https://www.ftc.gov/system/files/documents/cases/em_systems_defendants_stipulated_order.pdf
2016-10-25,"Volkswagen Group of America, Inc.","Partial Stipulated Order For Permanent Injunction and Monetary Judgment, As Approved by the United States District Court (551.38 KB)",https://www.ftc.gov/system/files/documents/cases/2104_-_final_signed_ftc_order.pdf
2016-10-19,"Chemence, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (640.28 KB),https://www.ftc.gov/system/files/documents/cases/161014_chemenceinc_final_order.pdf
2016-10-13,"BunZai Media Group, Inc. (AuraVie)",Stipulated Order for Permanent Injunction and Monetary Judgment as to Stipulating Defendant Oz Mizrahi (250.93 KB),https://www.ftc.gov/system/files/documents/cases/161011_aura_vie_440_order.pdf
2016-10-04,"AMG Services, Inc.","United States District Court Order (1) Granting the Federal Trade Commission's Motion For Summary Judgment As To the Corporate Defendants (AMG Capital Management, LLC; Black Creek Capital Corporation; Level 5 Motorsports, LLC; and Broadmoor Capital Partners, LLC) and Scott Tucker; (2) Requiring the Corporate Defendants and Scott Tucker To Pay A Monetary Judgment In the Amount of $1,301,897,652; and (3) Prohibiting the Corporate Defendants and Scott Tucker From Engaging In Consumer Lending or Deceptive Collection Practices, Misrepresenting Any Material Fact To Consumers Concerning Any Good or Service, or Conditioning the Extension of Credit On Preauthorized Electronic Fund Transfers. (564.61 KB)",https://www.ftc.gov/system/files/documents/cases/161004amg_do.pdf
2016-09-22,NutraClick LLC,Order for Permanent Injunction and Monetary Judgment (84.27 KB),https://www.ftc.gov/system/files/documents/cases/160921ordprem.pdf
2016-09-20,Fair Guide (Construct Data Publishers d/b/a Fair Guide),Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Susanne Anhorn and Wolfgang Valvoda (2.67 MB),https://www.ftc.gov/system/files/documents/cases/160920fairguidestip.pdf
2016-09-08,"Payday Support Center, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Richard Hughes [Entered by the Court] (3.13 MB),https://www.ftc.gov/system/files/documents/cases/160907paydayorderhughes.pdf
2016-09-07,Unified Global Group,"Stipulated Order For Permanent Injunction and Monetary Judgment As To Defendants ARM WNY, LLC; Audubon Financial Bureau, LLC; Unified Global Group, LLC; and Domenico D'Angelo, As Approved by the United States District Court (3.41 MB)",https://www.ftc.gov/system/files/documents/cases/160907unifiedglobalgroupstip.pdf
2016-09-07,National Payment Processing LLC (AFS Legal Services),"Stipulated Order For Permanent Injunction and Monetary Judgment As To All Defendants, As Approved by the United States District Court (394.7 KB)",https://www.ftc.gov/system/files/documents/cases/160907afsstip.pdf
2016-09-01,"Lanier Law, LLC","Final Order for Permanent Injunction and Monetary Judgment as to Defendants Lanier Law LLC, Fortress Law Group LLC, Liberty & Trust Law Group of Florida LLC, Fortress law Group PC, Michael W. Lanier, and Rogelio (Roger) Robles (123.1 KB)",https://www.ftc.gov/system/files/documents/cases/160901lanierorderfortress.pdf
2016-08-29,"I Works, Inc., et al.","Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Jeremy Johnson; Blue Streak Processing, Inc.; Business First, Inc.; Cloud Nine Marketing, Inc.; Cold Bay Media, Inc.; CPA Upsell, Inc.; Diamond J Media, Inc.; Ebusiness First, Inc.; EBusiness Success, Inc.; eCom Success, Inc.; Elite Debit, Inc.; Funding Success, Inc.; Hooper Processing, Inc.; IWorks, Inc.; Internet Economy, Inc.; Internet Fitness, Inc.; Market Funding Solutions, Inc.; Money Harvest, Inc.; Monroe Processing, Inc.; Net Commerce, Inc.; Premier Performance, Inc.; Pro Internet Services, Inc.; Revive Marketing, Inc.; Success Marketing, Inc.; Summit Processing, Inc.; TransFirst, Inc.; Tran Voyage, Inc.; and Unlimited Processing, Inc. (5.22 MB)",https://www.ftc.gov/system/files/documents/cases/160829iworks-stip.pdf
2016-08-24,Delaware Solutions,Stipulated Order for Permanent Injunction and Monetary Judgment (807.34 KB),https://www.ftc.gov/system/files/documents/cases/160824delawaresolutionsstip.pdf
2016-08-22,"CD Capital Investments, LLC","Permanent Injunction and Order for Equitable Monetary Relief as to Defendants CD Capital Investments, LLC, CD Capital, LLC, GDS Information Services, Inc., Christian D. Quezada, and Tuan D. Duong (70.43 KB)",https://www.ftc.gov/system/files/documents/cases/160822cdcapitalorder.pdf
2016-08-09,"American eVoice, Ltd. and Emerica Media Corporation, et al.","United States District Court Order Approving and Enforcing Stipulated Order For Permanent Injunction and Monetary Judgment As To Relief Defendant Bibliologic, Ltd. (173.82 KB)",https://www.ftc.gov/system/files/documents/cases/160819americanvoiceorder.pdf
2016-07-25,"Herbalife International of America, Inc., et al.",Stipulated Order For Permanent Injunction and Monetary Judgment (199.53 KB),https://www.ftc.gov/system/files/documents/cases/160725herbalifeorder.pdf
2016-07-22,"I Works, Inc., et al.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Ryan Riddle (4.3 MB),https://www.ftc.gov/system/files/documents/cases/i_works_stip_order_ryan_riddle.pdf
2016-07-21,"Partners in Health Care Association, Inc.","Final Order for Permanent Injunction and Monetary Judgment as to Defendants Partners in Health Care Association, Inc., and Gary L. Kieper (128.99 KB)",https://www.ftc.gov/system/files/documents/cases/160721partnershealthcareorder.pdf
2016-07-15,"Herbalife International of America, Inc., et al.",Stipulation To Entry of Order For Permanent Injunction and Monetary Judgment (1.15 MB),https://www.ftc.gov/system/files/documents/cases/160715herbalife-stip.pdf
2016-07-14,"Inbound Call Experts, LLC","Stipulated Final Order for Permanent Injunction and Monetary Judgment as to PC Cleaner, Inc., Netcom3 Global, Inc., Netcom3, Inc., doing business as Netcom3 Software Inc., and Cashier Myricks (620.82 KB)",https://www.ftc.gov/system/files/documents/cases/1607inboundcallexpertsstip.pdf
2016-07-13,Delaware Solutions,Stipulated Order for Permanent Injunction and Monetary Judgment (248.67 KB),https://www.ftc.gov/system/files/documents/cases/160713delawaresolutions-stip.pdf
2016-07-12,"Ross-Clayton Funeral Home, Inc., David C. Ross, Jr., and Eleanor Lewis Dawkins","Order, Consent Decree, Monetary Judgment, & Injunction (81.71 KB)",https://www.ftc.gov/system/files/documents/cases/160712ross-claytonorder.pdf
2016-06-28,"Volkswagen Group of America, Inc.",[Proposed] Partial Stipulated Order For Permanent Injunction and Monetary Judgment (1.2 MB),https://www.ftc.gov/system/files/documents/cases/proposed_partial_stipulated_order_filed_copy_0.pdf
2016-06-21,"SmartClick Media LLC, also doing business as Doctor Trusted",Stipulated Order for Permanent Injunction and Monetary Judgment (2.9 MB),https://www.ftc.gov/system/files/documents/cases/160621scmediastip.pdf
2016-06-20,"Boost Software, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Mark Donohue [Entered by the Court] (1.14 MB),https://www.ftc.gov/system/files/documents/cases/160620boostorder-markdonohue.pdf
2016-06-16,The Primary Group,"District Court Order Granting Plaintiff Federal Trade Commission’s Motion For Summary Judgment As To Defendants The Primary Group and Gail Daniels; Prohibiting Debt Collection Activities, Misrepresentations, and the Disclosure of Consumer Information; Requiring the Payment of Monetary Relief; and Imposing Other Requirements (1.34 MB)",https://www.ftc.gov/system/files/documents/cases/160616primarygrouporder.pdf
2016-06-09,"American Handicapped and Disadvantaged Workers, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (61.61 KB),https://www.ftc.gov/system/files/documents/cases/160609ahdwstip.pdf
2016-05-31,"FTC v. Lake, et al. (HouseHoldRelief)","Entry of Default Judgment and Final Order for Permanent Injunction and Monetary Judgment Against Defendants C.C. Enterprises, Inc. and D.N. Marketing, Inc. (138.92 KB)",https://www.ftc.gov/system/files/documents/cases/lake_142_default_judgment_against_cce_and_dnm.pdf
2016-05-25,"Lunada Biomedical, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment Against All Defendants (100.25 KB),https://www.ftc.gov/system/files/documents/cases/160525lunadastip.pdf
2016-05-24,Lentek International (Viatek Mosquito Shield Bands),Stipulated Order for Permanent Injunction and Monetary Judgment (Entered by Court) (64.29 KB),https://www.ftc.gov/system/files/documents/cases/160524lentekstip.pdf
2016-05-20,"Lunada Biomedical, Inc.",Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment Against All Defendants (353.9 KB),https://www.ftc.gov/system/files/documents/cases/160520lunadaorder_0.pdf
2016-05-05,"I Works, Inc., et al.",Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendant Andy Johnson (7.15 MB),https://www.ftc.gov/system/files/documents/cases/i_works_stip_order_andy_johnson_0.pdf
2016-05-04,"Hold Billing Services, Ltd.; Avery Communications, Inc.; Veterans of America Association, Ltd.; et al.",Stipulated Order for Permanent Injunction and Monetary Judgment (2.16 MB),https://www.ftc.gov/system/files/documents/cases/160504holdbillingstip.pdf
2016-05-03,"Health Formulas, LLC, Doing Business As Simple Pure Nutrition","Stipulated Order for Permanent Injunction and Monetary Judgment Regarding Defendants Chapnick, Smukler & Chapnick, Inc., Brandon Chapnick, and Keith Smukler (934.07 KB)",https://www.ftc.gov/system/files/documents/cases/1604simplepurestipchapnick.pdf
2016-04-28,"Expand, Inc. (Gigats)",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (498.68 KB),https://www.ftc.gov/system/files/documents/cases/160428gigatsorder.pdf
2016-04-18,"American eVoice, Ltd. and Emerica Media Corporation, et al.","Stipulated Order for Permanent Injunction and Monetary Judgment as to Relief Defendants Bibliologic and Bibliologic, Ltd. (603.9 KB)",https://www.ftc.gov/system/files/documents/cases/160415americanevoiceorder.pdf
2016-04-01,"Cancer Fund of America, Inc.","United States District Court Order For Permanent Injunction and Monetary Judgment Against Cancer Fund of America, Inc., Cancer Support Services, Inc., and James Reynolds, Sr. (120.99 KB)",https://www.ftc.gov/system/files/documents/cases/160401cfaorder.pdf
2016-03-30,"Cancer Fund of America, Inc.","Stipulation Re Order for Permanent Injunction and Monetary Judgment Against Cancer Fund of America, Inc. (CFA), Cancer Support Services, Inc. (CSS), and James Reynolds, Sr. (3.96 MB)",https://www.ftc.gov/system/files/documents/cases/160330cfaorder_reynolds.pdf
2016-03-02,"Apply Knowledge, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant David Gregory Bevan [Entered by the Court] (59.82 KB),https://www.ftc.gov/system/files/documents/cases/160302applyknowledge-bevan-stip.pdf
2016-02-22,"I Works, Inc., et al.",Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendant Loyd Johnston (4.41 MB),https://www.ftc.gov/system/files/documents/cases/160222iworkstip.pdf
2016-02-18,"BF Labs, Inc.",Proposed Stipulated Final Order for Permanent Injunction and Monetary Judgment as to Defendants BF Labs Inc. and Sonny Vleisides (1.89 MB),https://www.ftc.gov/system/files/documents/cases/160218bflabs_sonnystip.pdf
2016-02-12,"Boost Software, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment as to Amit Mehta (Entered by the Court) (521.78 KB),https://www.ftc.gov/system/files/documents/cases/160212vasttech_mehta_stip.pdf
2016-02-11,"Capital Payments, LLC (Bluefin Payment Systems)",Stipulated Order for Permanent Injunction and Monetary Judgment (5.09 MB),https://www.ftc.gov/system/files/documents/cases/160211bluefinorder.pdf
2016-02-08,"Sale Slash, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment (758.55 KB),https://www.ftc.gov/system/files/documents/cases/160205sales_slashstip.pdf
2016-02-01,Warrant Enforcement Division,Stipulated Order for Permanent Injunction and Monetary Judgment (179.99 KB),https://www.ftc.gov/system/files/documents/cases/160201warrantenforcementorder.pdf
2016-01-29,Top Shelf Marketing Corp.,Stipulated Order For Permanent Injunction and Monetary Judgment As To Defendants Top Shelf Marketing Corp. and Ryan Hult (3.95 MB),https://www.ftc.gov/system/files/documents/cases/160129stiporder_hult.pdf
2016-01-19,"PayBasics, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment [Entered by the Court] (81.68 KB),https://www.ftc.gov/system/files/documents/cases/160119paybasicsstip.pdf
2016-01-07,Warrant Enforcement Division,[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment  (832.63 KB),https://www.ftc.gov/system/files/documents/cases/160107warrantenforcementstip.pdf
2015-12-22,"PayBasics, Inc.",[Proposed] Stipulated Order for Permanent Injunction and Monetary Judgment (3.79 MB),https://www.ftc.gov/system/files/documents/cases/151222paybasicsstip.pdf
2015-12-15,"FTC v. Lake, et al. (HouseHoldRelief)",Stipulated Final Order for Permanent Injunction and Monetary Judgment Against Defendant Chad Caldaronello (76.94 KB),https://www.ftc.gov/system/files/documents/cases/151215household_caldaronellostip.pdf
2015-12-02,"Medical Yellow Directories, Inc. (American Yellow Corporation)",Default Judgment and Order for Permanent Injunction and Monetary Relief (979.08 KB),https://www.ftc.gov/system/files/documents/cases/151202americanyelloworder.pdf
2015-11-13,"Partners in Health Care Association, Inc.","Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants United Solutions Group, Inc., Walter Vargas, and Constanza Gomez Vargas (644.84 KB)",https://www.ftc.gov/system/files/documents/cases/151113partnershealthcarestip.pdf
2015-10-26,Consumer Collection Advocates Corp.,"Final Order of Permanent Injunction and Monetary Judgment Against Defendants Consumer Collection Advocates, Corp. and Michael Robert Ettus (89.8 KB)",https://www.ftc.gov/system/files/documents/cases/151026consumercollectionfinalorder.pdf
2015-10-20,"Pairsys, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (588.68 KB),https://www.ftc.gov/system/files/documents/cases/151020pairsysorder.pdf
2015-10-14,"CWB Services, LLC","Stipulated Order for Permanent Injunction and Monetary Judgment Against Frampton T. Rowland, III; Vandelier Group LLC; Anasazi Group LLC; Anasazi Services LLC; Longboat Group, LLC, also doing business as Cutter Group; Oread Group LLC; also doing business as Mass Street Group; and St. Armands Group LLC (91.93 KB)",https://www.ftc.gov/system/files/documents/cases/151014cwbstip.pdf
2015-10-05,DebtPro 123 LLC,[Proposed] Stipulation for Order for Permanent Injunction and Monetary Judgment Against Defendant Kara Wilbur Taylor (4.31 MB),https://www.ftc.gov/system/files/documents/cases/debt_pro_k._taylor_stip.pdf
2015-09-16,Broadway Global Master Inc.,Stipulated Order for Permanent Injunction and Monetary Judgment (64.44 KB),https://www.ftc.gov/system/files/documents/cases/150916broadwayglobalstip.pdf
2015-08-26,"CWB Services, LLC","Stipulated Order for Permanent Injunction and Monetary Judgment against Timothy A. Coppinger; CWB Services, LLC; Orion Services  LLC; Sandpoint Capital, LLC; Sandpoint, LLC; Namakan Capital, LLC, (Delaware); Namakan Capital, LLC (Nevis); Basseterre Capital, LLC (Delaware) and Basseterre Capital, LLC (Nevis). (87.34 KB)",https://www.ftc.gov/system/files/documents/cases/150826cwborder.pdf
2015-08-20,"Money Now Funding, LLC",Amended Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendant Solana DePaola (amended to include attachment) (735.13 KB),https://www.ftc.gov/system/files/documents/cases/150820rosedepaolaorder.pdf
2015-08-20,"Angel Sales, Inc.",Stipulated Order for Permanent Injunction and Monetary Judgment (644.07 KB),https://www.ftc.gov/system/files/documents/cases/150820angelstip.pdf
2015-08-20,"Zadro Health Solutions, Inc.",Stipulation To Entry of Order For Permanent Injunction and Monetary Judgment (390.45 KB),https://www.ftc.gov/system/files/documents/cases/150820zadrostipentryorder.pdf
2015-08-04,"First Time Credit Solution, Corp. (FTC Credit Solutions)",Amended Stipulated Order for Permanent Injunction and Monetary Judgment as to Guillermo Leyes (3.15 MB),https://www.ftc.gov/system/files/documents/cases/150804firsttimecreditleyesstip.pdf
2015-07-27,Sun Bright Ventures LLC (GMY LLC),"Stipulated Order for Permanent Injunction and Monetary Judgment as to Defendants Benjamin Todd Workman, Citadel ID Pro LLC, and Sun Bright Ventures LLC (1.09 MB)",https://www.ftc.gov/system/files/documents/cases/150727gmyorder-workman.pdf
2015-07-15,Centro Natural Corp,Final Order for Permanent Injunction and Monetary Judgment  (250.76 KB),https://www.ftc.gov/system/files/documents/cases/150715centronatural-order.pdf
2015-07-10,"Regency Financial Services, LLC",Stipulated Order for Permanent Injunction and Monetary Judgment (2.41 MB),https://www.ftc.gov/system/files/documents/cases/150710regencystip.pdf
2015-07-08,Centro Natural Corp,"Stipulated Order for Permanent Injunction and Monetary Judgment as to Javier Sumbre, Jessica Anzola and Sumore, L.L.C. (462.5 KB)",https://www.ftc.gov/system/files/documents/cases/150708centroordersumore_0.pdf
